Farm_ID,Date,Crop,Disease,Growth_Stage,Weather_Condition,Severity,Treatment_Applied,Treatment_Type,Dosage,Cost_Per_Acre,Outcome,Analyst_Notes
e46d61ab,4/29/2025,Potato,Early Blight,Fruiting,Cold,High,Azoxystrobin (Quadris),Chemical,3.0 pts/acre,43,Success,Azoxystrobin (Quadris) used during Fruiting stage under Cold conditions for High Early Blight. Outcome: Success. Recommended.
eebe374b,4/13/2025,Tomato,Early Blight,Fruiting,Rainy,High,Bacillus subtilis,Organic,3.0 pts/acre,30,Failure,Bacillus subtilis used during Fruiting stage under Rainy conditions for High Early Blight. Outcome: Failure. Recommended.
a45ce013,3/14/2025,Potato,Late Blight,Vegetative,Hot,Critical,Fixed Copper,Organic,3.0 pts/acre,10,Failure,Fixed Copper used during Vegetative stage under Hot conditions for Critical Late Blight. Outcome: Failure. Recommended.
9b0806ad,5/15/2025,Apple,Cedar Apple Rust,Harvest Ready,Rainy,High,Myclobutanil,Chemical,3.0 pts/acre,43,Failure,Myclobutanil used during Harvest Ready stage under Rainy conditions for High Cedar Apple Rust. Outcome: Failure. unsafe due to PHI (14 days).
a1b8773d,5/20/2025,Tomato,Bacterial Spot,Flowering,Hot,Critical,Bacteriophages,Organic,3.0 pts/acre,45,Failure,Bacteriophages used during Flowering stage under Hot conditions for Critical Bacterial Spot. Outcome: Failure. Recommended.
f2ff243a,11/1/2025,Tomato,Early Blight,Fruiting,Rainy,Critical,Azoxystrobin (Quadris),Chemical,3.0 pts/acre,41,Success,Azoxystrobin (Quadris) used during Fruiting stage under Rainy conditions for Critical Early Blight. Outcome: Success. Recommended.
803ad9af,5/21/2025,Tomato,Early Blight,Harvest Ready,Cold,High,Mancozeb (Dithane),Chemical,3.0 pts/acre,21,Failure,Mancozeb (Dithane) used during Harvest Ready stage under Cold conditions for High Early Blight. Outcome: Failure. unsafe due to PHI (5 days).
b0b61633,11/4/2025,Potato,Late Blight,Seedling,Rainy,High,Fixed Copper,Organic,3.0 pts/acre,10,Failure,Fixed Copper used during Seedling stage under Rainy conditions for High Late Blight. Outcome: Failure. Recommended.
853e09c5,7/21/2025,Apple,Cedar Apple Rust,Vegetative,Rainy,High,Propiconazole,Chemical,3.0 pts/acre,34,Partial Control,Propiconazole used during Vegetative stage under Rainy conditions for High Cedar Apple Rust. Outcome: Partial Control. Recommended.
d931991d,10/1/2025,Grape,Black Rot,Vegetative,Rainy,Moderate,Captan,Chemical,2.0 pts/acre,18,Partial Control,Captan used during Vegetative stage under Rainy conditions for Moderate Black Rot. Outcome: Partial Control. Recommended.
1b6343d5,9/7/2025,Grape,Black Rot,Fruiting,Hot,Moderate,Thiophanate-methyl,Chemical,2.0 pts/acre,37,Success,Thiophanate-methyl used during Fruiting stage under Hot conditions for Moderate Black Rot. Outcome: Success. Recommended.
349668c3,4/8/2025,Tomato,Early Blight,Seedling,Dry/Sunny,Critical,Azoxystrobin (Quadris),Chemical,3.0 pts/acre,42,Success,Azoxystrobin (Quadris) used during Seedling stage under Dry/Sunny conditions for Critical Early Blight. Outcome: Success. Recommended.
688a6519,9/22/2025,Grape,Leaf Blight,Vegetative,Hot,Low,Mancozeb,Chemical,2.0 pts/acre,24,Success,Mancozeb used during Vegetative stage under Hot conditions for Low Leaf Blight. Outcome: Success. Recommended.
6f3a9995,9/13/2025,Potato,Early Blight,Flowering,Dry/Sunny,Low,Chlorothalonil (Bravo),Chemical,2.0 pts/acre,21,Success,Chlorothalonil (Bravo) used during Flowering stage under Dry/Sunny conditions for Low Early Blight. Outcome: Success. Recommended.
44d6ee54,8/26/2025,Tomato,Bacterial Spot,Harvest Ready,Hot,High,Bacteriophages,Organic,3.0 pts/acre,51,Partial Control,Bacteriophages used during Harvest Ready stage under Hot conditions for High Bacterial Spot. Outcome: Partial Control. Recommended.
7a1d5182,10/28/2025,Grape,Black Rot,Fruiting,Rainy,Critical,Captan,Chemical,3.0 pts/acre,17,Partial Control,Captan used during Fruiting stage under Rainy conditions for Critical Black Rot. Outcome: Partial Control. Recommended.
81d8988d,5/14/2025,Tomato,Early Blight,Vegetative,Dry/Sunny,Critical,Azoxystrobin (Quadris),Chemical,3.0 pts/acre,45,Success,Azoxystrobin (Quadris) used during Vegetative stage under Dry/Sunny conditions for Critical Early Blight. Outcome: Success. Recommended.
7b4262e4,10/23/2025,Tomato,Late Blight,Fruiting,Humid,High,Fixed Copper,Organic,3.0 pts/acre,17,Partial Control,Fixed Copper used during Fruiting stage under Humid conditions for High Late Blight. Outcome: Partial Control. Recommended.
b1efc409,9/26/2025,Potato,Early Blight,Seedling,Hot,Moderate,Azoxystrobin (Quadris),Chemical,2.0 pts/acre,40,Success,Azoxystrobin (Quadris) used during Seedling stage under Hot conditions for Moderate Early Blight. Outcome: Success. Recommended.
be07a5b2,6/6/2025,Potato,Late Blight,Flowering,Rainy,Low,Fixed Copper,Organic,2.0 pts/acre,20,Partial Control,Fixed Copper used during Flowering stage under Rainy conditions for Low Late Blight. Outcome: Partial Control. Recommended.
96ac046b,5/7/2025,Potato,Late Blight,Flowering,Dry/Sunny,High,Fixed Copper,Organic,3.0 pts/acre,14,Partial Control,Fixed Copper used during Flowering stage under Dry/Sunny conditions for High Late Blight. Outcome: Partial Control. Recommended.
ba3369bc,4/26/2025,Apple,Apple Scab,Vegetative,Dry/Sunny,Low,Sulfur,Organic,2.0 pts/acre,10,Partial Control,Sulfur used during Vegetative stage under Dry/Sunny conditions for Low Apple Scab. Outcome: Partial Control. Recommended.
1f1bdbac,12/27/2025,Grape,Black Rot,Vegetative,Dry/Sunny,Critical,Lime Sulfur,Organic,3.0 pts/acre,17,Failure,Lime Sulfur used during Vegetative stage under Dry/Sunny conditions for Critical Black Rot. Outcome: Failure. Recommended.
21926113,11/11/2025,Tomato,Early Blight,Harvest Ready,Dry/Sunny,Critical,Copper Hydroxide,Organic,3.0 pts/acre,18,Failure,Copper Hydroxide used during Harvest Ready stage under Dry/Sunny conditions for Critical Early Blight. Outcome: Failure. Recommended.
80d68feb,11/5/2025,Potato,Late Blight,Fruiting,Hot,Moderate,Fixed Copper,Organic,2.0 pts/acre,13,Partial Control,Fixed Copper used during Fruiting stage under Hot conditions for Moderate Late Blight. Outcome: Partial Control. Recommended.
4b775bb2,4/11/2025,Tomato,Early Blight,Vegetative,Rainy,Critical,Bacillus subtilis,Organic,3.0 pts/acre,29,Failure,Bacillus subtilis used during Vegetative stage under Rainy conditions for Critical Early Blight. Outcome: Failure. Recommended.
8482d066,5/6/2025,Grape,Black Rot,Vegetative,Hot,Low,Thiophanate-methyl,Chemical,2.0 pts/acre,36,Success,Thiophanate-methyl used during Vegetative stage under Hot conditions for Low Black Rot. Outcome: Success. Recommended.
ebe8e85c,9/1/2025,Grape,Black Rot,Fruiting,Dry/Sunny,High,Captan,Chemical,3.0 pts/acre,27,Partial Control,Captan used during Fruiting stage under Dry/Sunny conditions for High Black Rot. Outcome: Partial Control. Recommended.
c030dd23,9/1/2025,Potato,Early Blight,Flowering,Humid,High,Mancozeb (Dithane),Chemical,3.0 pts/acre,16,Partial Control,Mancozeb (Dithane) used during Flowering stage under Humid conditions for High Early Blight. Outcome: Partial Control. Recommended.
df1e2383,12/26/2025,Apple,Black Rot,Harvest Ready,Dry/Sunny,Moderate,Captan,Chemical,2.0 pts/acre,23,Success,Captan used during Harvest Ready stage under Dry/Sunny conditions for Moderate Black Rot. Outcome: Success. Recommended.
7615150b,2/3/2026,Potato,Early Blight,Vegetative,Dry/Sunny,Moderate,Bacillus subtilis,Organic,2.0 pts/acre,35,Partial Control,Bacillus subtilis used during Vegetative stage under Dry/Sunny conditions for Moderate Early Blight. Outcome: Partial Control. Recommended.
a0ea7c7f,1/24/2026,Tomato,Late Blight,Harvest Ready,Dry/Sunny,High,Propamocarb,Chemical,3.0 pts/acre,39,Failure,Propamocarb used during Harvest Ready stage under Dry/Sunny conditions for High Late Blight. Outcome: Failure. unsafe due to PHI (5 days).
5623d780,4/28/2025,Potato,Early Blight,Harvest Ready,Hot,Moderate,Chlorothalonil (Bravo),Chemical,2.0 pts/acre,22,Success,Chlorothalonil (Bravo) used during Harvest Ready stage under Hot conditions for Moderate Early Blight. Outcome: Success. Recommended.
dcb060e3,12/14/2025,Grape,Leaf Blight,Seedling,Humid,High,Copper Oxychloride,Chemical,3.0 pts/acre,22,Partial Control,Copper Oxychloride used during Seedling stage under Humid conditions for High Leaf Blight. Outcome: Partial Control. Recommended.
aa83f35e,1/11/2026,Grape,Esca (Black Measles),Flowering,Cold,High,Pruning & Sanitation,Mechanical,3.0 pts/acre,101,Partial Control,Pruning & Sanitation used during Flowering stage under Cold conditions for High Esca (Black Measles). Outcome: Partial Control. Recommended.
f63fef75,7/29/2025,Grape,Black Rot,Seedling,Dry/Sunny,Moderate,Lime Sulfur,Organic,2.0 pts/acre,17,Partial Control,Lime Sulfur used during Seedling stage under Dry/Sunny conditions for Moderate Black Rot. Outcome: Partial Control. Recommended.
4a21f3f6,2/28/2025,Apple,Black Rot,Flowering,Humid,Moderate,Captan,Chemical,2.0 pts/acre,18,Success,Captan used during Flowering stage under Humid conditions for Moderate Black Rot. Outcome: Success. Recommended.
002901dc,10/18/2025,Apple,Apple Scab,Vegetative,Hot,Moderate,Myclobutanil,Chemical,2.0 pts/acre,43,Success,Myclobutanil used during Vegetative stage under Hot conditions for Moderate Apple Scab. Outcome: Success. Recommended.
fddc2aab,11/21/2025,Tomato,Bacterial Spot,Vegetative,Dry/Sunny,Critical,Copper + Mancozeb,Chemical,3.0 pts/acre,24,Success,Copper + Mancozeb used during Vegetative stage under Dry/Sunny conditions for Critical Bacterial Spot. Outcome: Success. Recommended.
f3de8f07,5/26/2025,Potato,Early Blight,Harvest Ready,Rainy,High,Azoxystrobin (Quadris),Chemical,3.0 pts/acre,45,Partial Control,Azoxystrobin (Quadris) used during Harvest Ready stage under Rainy conditions for High Early Blight. Outcome: Partial Control. Recommended.
67a44185,3/15/2025,Apple,Black Rot,Flowering,Humid,Low,Thiophanate-methyl,Chemical,2.0 pts/acre,36,Success,Thiophanate-methyl used during Flowering stage under Humid conditions for Low Black Rot. Outcome: Success. Recommended.
689755f1,10/13/2025,Potato,Late Blight,Seedling,Cold,Critical,Ridomil Gold,Chemical,3.0 pts/acre,50,Success,Ridomil Gold used during Seedling stage under Cold conditions for Critical Late Blight. Outcome: Success. Recommended.
e9482f57,8/11/2025,Tomato,Early Blight,Fruiting,Cold,High,Mancozeb (Dithane),Chemical,3.0 pts/acre,16,Partial Control,Mancozeb (Dithane) used during Fruiting stage under Cold conditions for High Early Blight. Outcome: Partial Control. Recommended.
7cd83bab,2/18/2025,Apple,Apple Scab,Flowering,Cold,Critical,Captan,Chemical,3.0 pts/acre,17,Success,Captan used during Flowering stage under Cold conditions for Critical Apple Scab. Outcome: Success. Recommended.
3c6ff48c,9/18/2025,Apple,Apple Scab,Fruiting,Hot,Moderate,Captan,Chemical,2.0 pts/acre,18,Success,Captan used during Fruiting stage under Hot conditions for Moderate Apple Scab. Outcome: Success. Recommended.
58bd96df,7/28/2025,Potato,Late Blight,Fruiting,Humid,Low,Propamocarb,Chemical,2.0 pts/acre,41,Success,Propamocarb used during Fruiting stage under Humid conditions for Low Late Blight. Outcome: Success. Recommended.
5a05d6d8,7/20/2025,Tomato,Bacterial Spot,Harvest Ready,Rainy,Critical,Copper + Mancozeb,Chemical,3.0 pts/acre,22,Failure,Copper + Mancozeb used during Harvest Ready stage under Rainy conditions for Critical Bacterial Spot. Outcome: Failure. unsafe due to PHI (5 days).
4046c850,12/18/2025,Apple,Black Rot,Harvest Ready,Dry/Sunny,Critical,Lime Sulfur,Organic,3.0 pts/acre,15,Failure,Lime Sulfur used during Harvest Ready stage under Dry/Sunny conditions for Critical Black Rot. Outcome: Failure. Recommended.
3b94057e,4/23/2025,Potato,Late Blight,Flowering,Rainy,Critical,Ridomil Gold,Chemical,3.0 pts/acre,50,Success,Ridomil Gold used during Flowering stage under Rainy conditions for Critical Late Blight. Outcome: Success. Recommended.
22d1485e,10/26/2025,Grape,Black Rot,Vegetative,Hot,Low,Thiophanate-methyl,Chemical,2.0 pts/acre,30,Success,Thiophanate-methyl used during Vegetative stage under Hot conditions for Low Black Rot. Outcome: Success. Recommended.
0992001c,8/20/2025,Tomato,Late Blight,Seedling,Cold,Low,Propamocarb,Chemical,2.0 pts/acre,38,Success,Propamocarb used during Seedling stage under Cold conditions for Low Late Blight. Outcome: Success. Recommended.
e8f453ba,6/29/2025,Apple,Cedar Apple Rust,Vegetative,Hot,Moderate,Myclobutanil,Chemical,2.0 pts/acre,37,Success,Myclobutanil used during Vegetative stage under Hot conditions for Moderate Cedar Apple Rust. Outcome: Success. Recommended.
e6b787e2,2/12/2026,Potato,Late Blight,Flowering,Rainy,Moderate,Ridomil Gold,Chemical,2.0 pts/acre,53,Success,Ridomil Gold used during Flowering stage under Rainy conditions for Moderate Late Blight. Outcome: Success. Recommended.
a5d828ec,8/4/2025,Tomato,Bacterial Spot,Fruiting,Hot,Moderate,Bacteriophages,Organic,2.0 pts/acre,52,Partial Control,Bacteriophages used during Fruiting stage under Hot conditions for Moderate Bacterial Spot. Outcome: Partial Control. Recommended.
90439c62,2/4/2026,Tomato,Bacterial Spot,Vegetative,Humid,Low,Bacteriophages,Organic,2.0 pts/acre,50,Partial Control,Bacteriophages used during Vegetative stage under Humid conditions for Low Bacterial Spot. Outcome: Partial Control. Recommended.
33062a8e,6/13/2025,Grape,Leaf Blight,Harvest Ready,Humid,Low,Mancozeb,Chemical,2.0 pts/acre,23,Failure,Mancozeb used during Harvest Ready stage under Humid conditions for Low Leaf Blight. Outcome: Failure. unsafe due to PHI (66 days).
280cf446,4/14/2025,Grape,Esca (Black Measles),Flowering,Dry/Sunny,Critical,Trichoderma species,Organic,3.0 pts/acre,37,Failure,Trichoderma species used during Flowering stage under Dry/Sunny conditions for Critical Esca (Black Measles). Outcome: Failure. Recommended.
6afe7372,8/23/2025,Apple,Black Rot,Seedling,Hot,Moderate,Captan,Chemical,2.0 pts/acre,19,Success,Captan used during Seedling stage under Hot conditions for Moderate Black Rot. Outcome: Success. Recommended.
4530c290,10/20/2025,Tomato,Early Blight,Harvest Ready,Dry/Sunny,High,Mancozeb (Dithane),Chemical,3.0 pts/acre,20,Failure,Mancozeb (Dithane) used during Harvest Ready stage under Dry/Sunny conditions for High Early Blight. Outcome: Failure. unsafe due to PHI (5 days).
57142ace,9/7/2025,Grape,Esca (Black Measles),Flowering,Dry/Sunny,Moderate,Pruning & Sanitation,Mechanical,2.0 pts/acre,97,Partial Control,Pruning & Sanitation used during Flowering stage under Dry/Sunny conditions for Moderate Esca (Black Measles). Outcome: Partial Control. Recommended.
78445b79,8/7/2025,Grape,Leaf Blight,Seedling,Hot,Critical,Copper Oxychloride,Chemical,3.0 pts/acre,17,Partial Control,Copper Oxychloride used during Seedling stage under Hot conditions for Critical Leaf Blight. Outcome: Partial Control. Recommended.
b0a1fa87,4/19/2025,Grape,Esca (Black Measles),Harvest Ready,Cold,Low,Pruning & Sanitation,Mechanical,2.0 pts/acre,98,Partial Control,Pruning & Sanitation used during Harvest Ready stage under Cold conditions for Low Esca (Black Measles). Outcome: Partial Control. Recommended.
7c46a42a,6/24/2025,Apple,Black Rot,Harvest Ready,Hot,Critical,Captan,Chemical,3.0 pts/acre,23,Success,Captan used during Harvest Ready stage under Hot conditions for Critical Black Rot. Outcome: Success. Recommended.
